State ID,State,Year,Subsector ID,Subsector,Investment
1,Aguascalientes,1999,541,"Services Professionals, Scientists and Technicals",0.07598099857568741
1,Aguascalientes,1999,561,Support Services Business,1.345173954963684
1,Aguascalientes,2000,221,"Generation, Transmission and Distribution of Electric Energy",1.6250269412994385
1,Aguascalientes,2000,312,Beverage Industry and the Snuff,0.7459319829940796
1,Aguascalientes,2000,314,"Manufacture of Textiles, except Apparel",4.364159107208252
1,Aguascalientes,2000,315,Manufacture of Clothing,15.383829116821289
1,Aguascalientes,2000,325,Chemical Industry,1.1196039915084839
1,Aguascalientes,2000,326,Industry Plastic and Rubber,14.22902774810791
1,Aguascalientes,2000,331,Basic Metal Industries,1.8527450561523438
1,Aguascalientes,2000,332,Fabricated Metal Products,1.277472972869873
1,Aguascalientes,2000,333,Manufacture of Machinery and Equipment,1.1118049621582031
1,Aguascalientes,2000,334,"Manufacture of Computer, Communication, Measurement and other Equipment, Electronic Components and Accessories",0.27465298771858215
1,Aguascalientes,2000,335,"Manufacture of Accessories, Electrical Appliances and Equipment Power Generation",1.3939059972763062
1,Aguascalientes,2000,336,Manufacture of Transport Equipment,212.00900268554688
1,Aguascalientes,2000,337,"Manufacture of Furniture, Mattresses and Blinds",1.264274001121521
1,Aguascalientes,2000,339,Other Manufacturing,0.6311799883842468
1,Aguascalientes,2000,433,"The Wholesale Trade of Pharmaceuticals, Toiletries, Entertainment Items, Minor Appliances and White Line",0.6231369972229004
1,Aguascalientes,2000,434,"The Wholesale Trade of Agricultural and Forestry Raw Materials for Industry, and Waste Materials",0.28148800134658813
1,Aguascalientes,2000,435,"The Wholesale Trade of Machinery, Equipment and Furniture for Agricultural, Industrial, Service and Commercial, and other Machinery and Equipment for General Use",0.41905298829078674
1,Aguascalientes,2000,462,The Retail Trade in Supermarkets and Department Stores,19.021852493286133
1,Aguascalientes,2000,492,Courier and Parcel Services,0.01827000081539154
1,Aguascalientes,2000,517,Telecommunications,-22.16338348388672
1,Aguascalientes,2000,522,Intermediary Institutions Credit and Financial Off-Exchange,14.994562149047852
1,Aguascalientes,2000,523,"Trading Activities, Exchange Rate and Financial Investment",-0.129721000790596
1,Aguascalientes,2000,524,"Surety Companies, Insurance and Pensions",3.7347660064697266
1,Aguascalientes,2000,531,Real Estate Services,4.124117851257324
1,Aguascalientes,2000,541,"Services Professionals, Scientists and Technicals",0.10387100279331207
1,Aguascalientes,2000,561,Support Services Business,1.0082659721374512
1,Aguascalientes,2000,722,Preparation Services Food and Beverage,0.26593300700187683
1,Aguascalientes,2001,221,"Generation, Transmission and Distribution of Electric Energy",5.87863302230835
1,Aguascalientes,2001,237,Construction of Civil Engineering Works,-0.0025579999200999737
1,Aguascalientes,2001,311,Food Industry,-3.69690203666687
1,Aguascalientes,2001,312,Beverage Industry and the Snuff,1.3825680017471313
1,Aguascalientes,2001,313,Textile Manufacturing Inputs and Finishing of Textiles,0.6590549945831299
1,Aguascalientes,2001,314,"Manufacture of Textiles, except Apparel",0.11037600040435791
1,Aguascalientes,2001,315,Manufacture of Clothing,6.101218223571777
1,Aguascalientes,2001,325,Chemical Industry,1.3136299848556519
1,Aguascalientes,2001,326,Industry Plastic and Rubber,-5.640017986297607
1,Aguascalientes,2001,331,Basic Metal Industries,4.008124828338623
1,Aguascalientes,2001,333,Manufacture of Machinery and Equipment,0.06605599820613861
1,Aguascalientes,2001,335,"Manufacture of Accessories, Electrical Appliances and Equipment Power Generation",0.81427001953125
1,Aguascalientes,2001,336,Manufacture of Transport Equipment,92.77666473388672
1,Aguascalientes,2001,339,Other Manufacturing,0.3864539861679077
1,Aguascalientes,2001,432,The Wholesale Trade of Textile Products and Footwear,0.01385200023651123
1,Aguascalientes,2001,433,"The Wholesale Trade of Pharmaceuticals, Toiletries, Entertainment Items, Minor Appliances and White Line",-0.078855000436306
1,Aguascalientes,2001,434,"The Wholesale Trade of Agricultural and Forestry Raw Materials for Industry, and Waste Materials",0.5666519999504089
1,Aguascalientes,2001,435,"The Wholesale Trade of Machinery, Equipment and Furniture for Agricultural, Industrial, Service and Commercial, and other Machinery and Equipment for General Use",0.3607659935951233
1,Aguascalientes,2001,462,The Retail Trade in Supermarkets and Department Stores,18.201278686523438
1,Aguascalientes,2001,517,Telecommunications,16.16583251953125
1,Aguascalientes,2001,519,Other Information Services,0.0724949985742569
1,Aguascalientes,2001,522,Intermediary Institutions Credit and Financial Off-Exchange,70.5584945678711
1,Aguascalientes,2001,523,"Trading Activities, Exchange Rate and Financial Investment",0.01544100046157837
1,Aguascalientes,2001,524,"Surety Companies, Insurance and Pensions",1.3490999937057495
1,Aguascalientes,2001,531,Real Estate Services,3.5612540245056152
1,Aguascalientes,2001,533,"Rental Services Trademarks, Patents and Franchises",0.0018840000266209245
1,Aguascalientes,2001,541,"Services Professionals, Scientists and Technicals",0.10435999929904938
1,Aguascalientes,2001,561,Support Services Business,0.1719519942998886
1,Aguascalientes,2001,722,Preparation Services Food and Beverage,-0.6111239790916443
1,Aguascalientes,2002,221,"Generation, Transmission and Distribution of Electric Energy",6.56981086730957
1,Aguascalientes,2002,311,Food Industry,1.2899110317230225
1,Aguascalientes,2002,312,Beverage Industry and the Snuff,1.1232409477233887
1,Aguascalientes,2002,314,"Manufacture of Textiles, except Apparel",0.7203909754753113
1,Aguascalientes,2002,315,Manufacture of Clothing,4.525200843811035
1,Aguascalientes,2002,325,Chemical Industry,0.7243760228157043
1,Aguascalientes,2002,326,Industry Plastic and Rubber,-10.607398986816406
1,Aguascalientes,2002,331,Basic Metal Industries,4.335484981536865
1,Aguascalientes,2002,332,Fabricated Metal Products,3.1723060607910156
1,Aguascalientes,2002,333,Manufacture of Machinery and Equipment,3.136707067489624
1,Aguascalientes,2002,335,"Manufacture of Accessories, Electrical Appliances and Equipment Power Generation",0.2538929879665375
1,Aguascalientes,2002,336,Manufacture of Transport Equipment,2.1339058876037598
1,Aguascalientes,2002,337,"Manufacture of Furniture, Mattresses and Blinds",2.1754400730133057
1,Aguascalientes,2002,339,Other Manufacturing,2.4884250164031982
1,Aguascalientes,2002,432,The Wholesale Trade of Textile Products and Footwear,-0.0973299965262413
1,Aguascalientes,2002,433,"The Wholesale Trade of Pharmaceuticals, Toiletries, Entertainment Items, Minor Appliances and White Line",0.5101969838142395
1,Aguascalientes,2002,434,"The Wholesale Trade of Agricultural and Forestry Raw Materials for Industry, and Waste Materials",0.40634098649024963
1,Aguascalientes,2002,462,The Retail Trade in Supermarkets and Department Stores,6.023381233215332
1,Aguascalientes,2002,492,Courier and Parcel Services,0.05896399915218353
1,Aguascalientes,2002,517,Telecommunications,36.250343322753906
1,Aguascalientes,2002,519,Other Information Services,-0.04552900046110153
1,Aguascalientes,2002,522,Intermediary Institutions Credit and Financial Off-Exchange,41.59978485107422
1,Aguascalientes,2002,523,"Trading Activities, Exchange Rate and Financial Investment",0.0841900035738945
1,Aguascalientes,2002,524,"Surety Companies, Insurance and Pensions",0.016649000346660614
1,Aguascalientes,2002,531,Real Estate Services,5.410698890686035
1,Aguascalientes,2002,532,Rental Services Movables,0.06704899668693542
1,Aguascalientes,2002,541,"Services Professionals, Scientists and Technicals",-1.6672710180282593
1,Aguascalientes,2002,561,Support Services Business,-0.011889000423252583
1,Aguascalientes,2002,722,Preparation Services Food and Beverage,0.24052900075912476
1,Aguascalientes,2003,221,"Generation, Transmission and Distribution of Electric Energy",9.35884952545166
1,Aguascalientes,2003,237,Construction of Civil Engineering Works,0.0010770000517368317
1,Aguascalientes,2003,311,Food Industry,14.830964088439941
1,Aguascalientes,2003,312,Beverage Industry and the Snuff,1.080651044845581
1,Aguascalientes,2003,313,Textile Manufacturing Inputs and Finishing of Textiles,0.03674599900841713
1,Aguascalientes,2003,314,"Manufacture of Textiles, except Apparel",0.0133670000359416
1,Aguascalientes,2003,315,Manufacture of Clothing,3.260664939880371
1,Aguascalientes,2003,325,Chemical Industry,0.9370909929275513
1,Aguascalientes,2003,326,Industry Plastic and Rubber,2.0811009407043457
1,Aguascalientes,2003,331,Basic Metal Industries,5.852468013763428
1,Aguascalientes,2003,332,Fabricated Metal Products,0.212677001953125
1,Aguascalientes,2003,333,Manufacture of Machinery and Equipment,10.057479858398438
1,Aguascalientes,2003,334,"Manufacture of Computer, Communication, Measurement and other Equipment, Electronic Components and Accessories",2.8923439979553223
1,Aguascalientes,2003,335,"Manufacture of Accessories, Electrical Appliances and Equipment Power Generation",0.006140000186860561
1,Aguascalientes,2003,336,Manufacture of Transport Equipment,21.544347763061523
1,Aguascalientes,2003,337,"Manufacture of Furniture, Mattresses and Blinds",0.6228989958763123
1,Aguascalientes,2003,339,Other Manufacturing,0.5969550013542175
1,Aguascalientes,2003,433,"The Wholesale Trade of Pharmaceuticals, Toiletries, Entertainment Items, Minor Appliances and White Line",-0.0017559999832883477
1,Aguascalientes,2003,434,"The Wholesale Trade of Agricultural and Forestry Raw Materials for Industry, and Waste Materials",0.013930000364780426
1,Aguascalientes,2003,435,"The Wholesale Trade of Machinery, Equipment and Furniture for Agricultural, Industrial, Service and Commercial, and other Machinery and Equipment for General Use",0.9436489939689636
1,Aguascalientes,2003,462,The Retail Trade in Supermarkets and Department Stores,7.969698905944824
1,Aguascalientes,2003,492,Courier and Parcel Services,0.02220500074326992
1,Aguascalientes,2003,517,Telecommunications,19.275558471679688
1,Aguascalientes,2003,522,Intermediary Institutions Credit and Financial Off-Exchange,6.182422637939453
1,Aguascalientes,2003,523,"Trading Activities, Exchange Rate and Financial Investment",0.08904699981212616
1,Aguascalientes,2003,524,"Surety Companies, Insurance and Pensions",-0.10600399971008301
1,Aguascalientes,2003,531,Real Estate Services,2.988861083984375
1,Aguascalientes,2003,541,"Services Professionals, Scientists and Technicals",0.34109899401664734
1,Aguascalientes,2003,561,Support Services Business,-0.7448310256004333
1,Aguascalientes,2003,713,Entertainment Services in Recreational Facilities and other Recreational Services,0.8782839775085449
1,Aguascalientes,2003,722,Preparation Services Food and Beverage,0.09312800318002701
1,Aguascalientes,2004,221,"Generation, Transmission and Distribution of Electric Energy",1.9002530574798584
1,Aguascalientes,2004,311,Food Industry,1.915776014328003
1,Aguascalientes,2004,312,Beverage Industry and the Snuff,0.7651280164718628
1,Aguascalientes,2004,315,Manufacture of Clothing,1.1859469413757324
1,Aguascalientes,2004,325,Chemical Industry,2.8873369693756104
1,Aguascalientes,2004,326,Industry Plastic and Rubber,3.269800901412964
1,Aguascalientes,2004,327,Product Manufacturing Nonmetallic Minerals,0.46368101239204407
1,Aguascalientes,2004,331,Basic Metal Industries,6.80166482925415
1,Aguascalientes,2004,332,Fabricated Metal Products,-1.495242953300476
1,Aguascalientes,2004,333,Manufacture of Machinery and Equipment,14.496838569641113
1,Aguascalientes,2004,334,"Manufacture of Computer, Communication, Measurement and other Equipment, Electronic Components and Accessories",0.02049200050532818
1,Aguascalientes,2004,335,"Manufacture of Accessories, Electrical Appliances and Equipment Power Generation",0.004958000034093857
1,Aguascalientes,2004,336,Manufacture of Transport Equipment,256.459228515625
1,Aguascalientes,2004,337,"Manufacture of Furniture, Mattresses and Blinds",0.8904470205307007
1,Aguascalientes,2004,339,Other Manufacturing,1.1201679706573486
1,Aguascalientes,2004,433,"The Wholesale Trade of Pharmaceuticals, Toiletries, Entertainment Items, Minor Appliances and White Line",0.9638479948043823
1,Aguascalientes,2004,434,"The Wholesale Trade of Agricultural and Forestry Raw Materials for Industry, and Waste Materials",0.3625969886779785
1,Aguascalientes,2004,435,"The Wholesale Trade of Machinery, Equipment and Furniture for Agricultural, Industrial, Service and Commercial, and other Machinery and Equipment for General Use",6.308518886566162
1,Aguascalientes,2004,462,The Retail Trade in Supermarkets and Department Stores,9.460440635681152
1,Aguascalientes,2004,492,Courier and Parcel Services,0.2750900089740753
1,Aguascalientes,2004,517,Telecommunications,15.358869552612305
1,Aguascalientes,2004,522,Intermediary Institutions Credit and Financial Off-Exchange,105.34020233154297
1,Aguascalientes,2004,523,"Trading Activities, Exchange Rate and Financial Investment",0.09216500073671341
1,Aguascalientes,2004,524,"Surety Companies, Insurance and Pensions",0.06541299819946289
1,Aguascalientes,2004,531,Real Estate Services,4.890023231506348
1,Aguascalientes,2004,541,"Services Professionals, Scientists and Technicals",0.8473640084266663
1,Aguascalientes,2004,561,Support Services Business,0.022762000560760498
1,Aguascalientes,2004,722,Preparation Services Food and Beverage,4.240616798400879
1,Aguascalientes,2005,221,"Generation, Transmission and Distribution of Electric Energy",0.9081169962882996
1,Aguascalientes,2005,237,Construction of Civil Engineering Works,0.00570600014179945
1,Aguascalientes,2005,311,Food Industry,0.07198300212621689
1,Aguascalientes,2005,312,Beverage Industry and the Snuff,1.04783296585083
1,Aguascalientes,2005,315,Manufacture of Clothing,6.945545196533203
1,Aguascalientes,2005,325,Chemical Industry,0.06554199755191803
1,Aguascalientes,2005,326,Industry Plastic and Rubber,1.6282860040664673
1,Aguascalientes,2005,327,Product Manufacturing Nonmetallic Minerals,0.1131649985909462
1,Aguascalientes,2005,331,Basic Metal Industries,1.1797300577163696
1,Aguascalientes,2005,332,Fabricated Metal Products,0.6191980242729187
1,Aguascalientes,2005,333,Manufacture of Machinery and Equipment,1.8318760395050049
1,Aguascalientes,2005,335,"Manufacture of Accessories, Electrical Appliances and Equipment Power Generation",1.3225140571594238
1,Aguascalientes,2005,336,Manufacture of Transport Equipment,69.80631256103516
1,Aguascalientes,2005,339,Other Manufacturing,3.8560070991516113
1,Aguascalientes,2005,433,"The Wholesale Trade of Pharmaceuticals, Toiletries, Entertainment Items, Minor Appliances and White Line",0.46564701199531555
1,Aguascalientes,2005,434,"The Wholesale Trade of Agricultural and Forestry Raw Materials for Industry, and Waste Materials",0.04133399948477745
1,Aguascalientes,2005,435,"The Wholesale Trade of Machinery, Equipment and Furniture for Agricultural, Industrial, Service and Commercial, and other Machinery and Equipment for General Use",-5.063908100128174
1,Aguascalientes,2005,462,The Retail Trade in Supermarkets and Department Stores,13.695034980773926
1,Aguascalientes,2005,492,Courier and Parcel Services,0.19538800418376923
1,Aguascalientes,2005,517,Telecommunications,14.653496742248535
1,Aguascalientes,2005,522,Intermediary Institutions Credit and Financial Off-Exchange,3.784074306488037
1,Aguascalientes,2005,523,"Trading Activities, Exchange Rate and Financial Investment",0.30895501375198364
1,Aguascalientes,2005,524,"Surety Companies, Insurance and Pensions",0.02042200043797493
1,Aguascalientes,2005,531,Real Estate Services,8.933158874511719
1,Aguascalientes,2005,541,"Services Professionals, Scientists and Technicals",-0.12099400162696838
1,Aguascalientes,2005,561,Support Services Business,0.07824300229549408
1,Aguascalientes,2005,722,Preparation Services Food and Beverage,-1.1347589492797852
1,Aguascalientes,2006,221,"Generation, Transmission and Distribution of Electric Energy",-0.045504000037908554
1,Aguascalientes,2006,236,Edification,5.549108028411865
1,Aguascalientes,2006,311,Food Industry,0.17930099368095398
1,Aguascalientes,2006,312,Beverage Industry and the Snuff,1.0672160387039185
1,Aguascalientes,2006,315,Manufacture of Clothing,9.683673858642578
1,Aguascalientes,2006,325,Chemical Industry,-0.4114930033683777
1,Aguascalientes,2006,326,Industry Plastic and Rubber,9.219484329223633
1,Aguascalientes,2006,331,Basic Metal Industries,35.71712875366211
1,Aguascalientes,2006,333,Manufacture of Machinery and Equipment,-1.3084369897842407
1,Aguascalientes,2006,334,"Manufacture of Computer, Communication, Measurement and other Equipment, Electronic Components and Accessories",-1.005094051361084
1,Aguascalientes,2006,335,"Manufacture of Accessories, Electrical Appliances and Equipment Power Generation",0.01243400014936924
1,Aguascalientes,2006,336,Manufacture of Transport Equipment,47.76091384887695
1,Aguascalientes,2006,339,Other Manufacturing,0.699895977973938
1,Aguascalientes,2006,433,"The Wholesale Trade of Pharmaceuticals, Toiletries, Entertainment Items, Minor Appliances and White Line",-0.2662869989871979
1,Aguascalientes,2006,434,"The Wholesale Trade of Agricultural and Forestry Raw Materials for Industry, and Waste Materials",0.04830300062894821
1,Aguascalientes,2006,435,"The Wholesale Trade of Machinery, Equipment and Furniture for Agricultural, Industrial, Service and Commercial, and other Machinery and Equipment for General Use",2.5865650177001953
1,Aguascalientes,2006,436,"The Wholesale Trade of Trucks and New Parts and Spare Parts for Cars, Vans and Trucks",-0.9990410208702087
1,Aguascalientes,2006,462,The Retail Trade in Supermarkets and Department Stores,0.37523600459098816
1,Aguascalientes,2006,492,Courier and Parcel Services,-0.06672699749469757
1,Aguascalientes,2006,517,Telecommunications,6.485950946807861
1,Aguascalientes,2006,522,Intermediary Institutions Credit and Financial Off-Exchange,16.092836380004883
1,Aguascalientes,2006,523,"Trading Activities, Exchange Rate and Financial Investment",-1.4806629419326782
1,Aguascalientes,2006,524,"Surety Companies, Insurance and Pensions",0.3269580006599426
1,Aguascalientes,2006,531,Real Estate Services,2.7936809062957764
1,Aguascalientes,2006,541,"Services Professionals, Scientists and Technicals",1.3898999691009521
1,Aguascalientes,2006,561,Support Services Business,1.6942590475082397
1,Aguascalientes,2006,722,Preparation Services Food and Beverage,0.02407900057733059
1,Aguascalientes,2007,221,"Generation, Transmission and Distribution of Electric Energy",-0.05174500122666359
1,Aguascalientes,2007,236,Edification,1.2755440473556519
1,Aguascalientes,2007,237,Construction of Civil Engineering Works,116.31751251220703
1,Aguascalientes,2007,311,Food Industry,0.3050990104675293
1,Aguascalientes,2007,312,Beverage Industry and the Snuff,1.5647339820861816
1,Aguascalientes,2007,315,Manufacture of Clothing,4.465514183044434
1,Aguascalientes,2007,325,Chemical Industry,16.819366455078125
1,Aguascalientes,2007,326,Industry Plastic and Rubber,-12.627906799316406
1,Aguascalientes,2007,331,Basic Metal Industries,11.401521682739258
1,Aguascalientes,2007,333,Manufacture of Machinery and Equipment,0.3955399990081787
1,Aguascalientes,2007,335,"Manufacture of Accessories, Electrical Appliances and Equipment Power Generation",-0.3084630072116852
1,Aguascalientes,2007,336,Manufacture of Transport Equipment,194.20004272460938
1,Aguascalientes,2007,339,Other Manufacturing,-0.12002400308847427
1,Aguascalientes,2007,433,"The Wholesale Trade of Pharmaceuticals, Toiletries, Entertainment Items, Minor Appliances and White Line",3.250952959060669
1,Aguascalientes,2007,434,"The Wholesale Trade of Agricultural and Forestry Raw Materials for Industry, and Waste Materials",0.7131940126419067
1,Aguascalientes,2007,435,"The Wholesale Trade of Machinery, Equipment and Furniture for Agricultural, Industrial, Service and Commercial, and other Machinery and Equipment for General Use",1.1756060123443604
1,Aguascalientes,2007,436,"The Wholesale Trade of Trucks and New Parts and Spare Parts for Cars, Vans and Trucks",6.4749932289123535
1,Aguascalientes,2007,462,The Retail Trade in Supermarkets and Department Stores,8.901476860046387
1,Aguascalientes,2007,492,Courier and Parcel Services,0.06518500298261642
1,Aguascalientes,2007,517,Telecommunications,5.230809211730957
1,Aguascalientes,2007,522,Intermediary Institutions Credit and Financial Off-Exchange,34.189788818359375
1,Aguascalientes,2007,523,"Trading Activities, Exchange Rate and Financial Investment",-0.2773210108280182
1,Aguascalientes,2007,524,"Surety Companies, Insurance and Pensions",0.0314599983394146
1,Aguascalientes,2007,531,Real Estate Services,1.5916329622268677
1,Aguascalientes,2007,541,"Services Professionals, Scientists and Technicals",0.12827399373054504
1,Aguascalientes,2007,561,Support Services Business,0.01971299946308136
1,Aguascalientes,2007,713,Entertainment Services in Recreational Facilities and other Recreational Services,-0.014000000432133675
1,Aguascalientes,2007,722,Preparation Services Food and Beverage,7.05628776550293
1,Aguascalientes,2008,236,Edification,0.40077900886535645
1,Aguascalientes,2008,237,Construction of Civil Engineering Works,-0.2415820062160492
1,Aguascalientes,2008,311,Food Industry,-2.583254098892212
1,Aguascalientes,2008,312,Beverage Industry and the Snuff,1.6577320098876953
1,Aguascalientes,2008,315,Manufacture of Clothing,4.563512802124023
1,Aguascalientes,2008,325,Chemical Industry,4.48602819442749
1,Aguascalientes,2008,326,Industry Plastic and Rubber,-2.4550371170043945
1,Aguascalientes,2008,331,Basic Metal Industries,10.406346321105957
1,Aguascalientes,2008,333,Manufacture of Machinery and Equipment,2.8082680702209473
1,Aguascalientes,2008,334,"Manufacture of Computer, Communication, Measurement and other Equipment, Electronic Components and Accessories",2.0799200534820557
1,Aguascalientes,2008,335,"Manufacture of Accessories, Electrical Appliances and Equipment Power Generation",-0.8155109882354736
1,Aguascalientes,2008,336,Manufacture of Transport Equipment,257.76611328125
1,Aguascalientes,2008,339,Other Manufacturing,0.34947600960731506
1,Aguascalientes,2008,433,"The Wholesale Trade of Pharmaceuticals, Toiletries, Entertainment Items, Minor Appliances and White Line",0.007957999594509602
1,Aguascalientes,2008,434,"The Wholesale Trade of Agricultural and Forestry Raw Materials for Industry, and Waste Materials",-0.35392799973487854
1,Aguascalientes,2008,435,"The Wholesale Trade of Machinery, Equipment and Furniture for Agricultural, Industrial, Service and Commercial, and other Machinery and Equipment for General Use",1.4720230102539063
1,Aguascalientes,2008,436,"The Wholesale Trade of Trucks and New Parts and Spare Parts for Cars, Vans and Trucks",5.9050211906433105
1,Aguascalientes,2008,462,The Retail Trade in Supermarkets and Department Stores,10.480753898620605
1,Aguascalientes,2008,492,Courier and Parcel Services,0.0357850007712841
1,Aguascalientes,2008,517,Telecommunications,8.31092643737793
1,Aguascalientes,2008,522,Intermediary Institutions Credit and Financial Off-Exchange,24.352354049682617
1,Aguascalientes,2008,523,"Trading Activities, Exchange Rate and Financial Investment",0.826570987701416
1,Aguascalientes,2008,524,"Surety Companies, Insurance and Pensions",0.3077310025691986
1,Aguascalientes,2008,531,Real Estate Services,2.840820074081421
1,Aguascalientes,2008,532,Rental Services Movables,1.9617810249328613
1,Aguascalientes,2008,541,"Services Professionals, Scientists and Technicals",0.08260100334882736
1,Aguascalientes,2008,561,Support Services Business,-0.1368889957666397
1,Aguascalientes,2008,722,Preparation Services Food and Beverage,-3.608297109603882
1,Aguascalientes,2009,221,"Generation, Transmission and Distribution of Electric Energy",1.6276320219039917
1,Aguascalientes,2009,236,Edification,3.3811540603637695
1,Aguascalientes,2009,237,Construction of Civil Engineering Works,14.963526725769043
1,Aguascalientes,2009,312,Beverage Industry and the Snuff,1.1610620021820068
1,Aguascalientes,2009,315,Manufacture of Clothing,2.940821886062622
1,Aguascalientes,2009,325,Chemical Industry,0.6079530119895935
1,Aguascalientes,2009,326,Industry Plastic and Rubber,11.098723411560059
1,Aguascalientes,2009,327,Product Manufacturing Nonmetallic Minerals,4.020777225494385
1,Aguascalientes,2009,331,Basic Metal Industries,-5.514409065246582
1,Aguascalientes,2009,333,Manufacture of Machinery and Equipment,-0.20193499326705933
1,Aguascalientes,2009,334,"Manufacture of Computer, Communication, Measurement and other Equipment, Electronic Components and Accessories",0.7310270071029663
1,Aguascalientes,2009,335,"Manufacture of Accessories, Electrical Appliances and Equipment Power Generation",-0.7775639891624451
1,Aguascalientes,2009,336,Manufacture of Transport Equipment,169.95855712890625
1,Aguascalientes,2009,339,Other Manufacturing,98.53874206542969
1,Aguascalientes,2009,433,"The Wholesale Trade of Pharmaceuticals, Toiletries, Entertainment Items, Minor Appliances and White Line",0.8243550062179565
1,Aguascalientes,2009,434,"The Wholesale Trade of Agricultural and Forestry Raw Materials for Industry, and Waste Materials",-0.11455299705266953
1,Aguascalientes,2009,435,"The Wholesale Trade of Machinery, Equipment and Furniture for Agricultural, Industrial, Service and Commercial, and other Machinery and Equipment for General Use",-2.3348820209503174
1,Aguascalientes,2009,436,"The Wholesale Trade of Trucks and New Parts and Spare Parts for Cars, Vans and Trucks",-0.10668107867240906
1,Aguascalientes,2009,462,The Retail Trade in Supermarkets and Department Stores,9.297528266906738
1,Aguascalientes,2009,468,"The Retail Trade of Motor Vehicles, Parts, Fuel and Lubricants",7.611196994781494
1,Aguascalientes,2009,492,Courier and Parcel Services,-0.0035250000655651093
1,Aguascalientes,2009,517,Telecommunications,3.427198886871338
1,Aguascalientes,2009,522,Intermediary Institutions Credit and Financial Off-Exchange,13.807928085327148
1,Aguascalientes,2009,523,"Trading Activities, Exchange Rate and Financial Investment",0.6292880177497864
1,Aguascalientes,2009,524,"Surety Companies, Insurance and Pensions",0.012265999801456928
1,Aguascalientes,2009,531,Real Estate Services,3.8621699810028076
1,Aguascalientes,2009,541,"Services Professionals, Scientists and Technicals",0.016225000843405724
1,Aguascalientes,2009,561,Support Services Business,1.347051978111267
1,Aguascalientes,2009,722,Preparation Services Food and Beverage,0.025662999600172043
1,Aguascalientes,2010,221,"Generation, Transmission and Distribution of Electric Energy",2.0545849800109863
1,Aguascalientes,2010,236,Edification,0.4182739853858948
1,Aguascalientes,2010,237,Construction of Civil Engineering Works,-0.012416999787092209
1,Aguascalientes,2010,311,Food Industry,-0.31717801094055176
1,Aguascalientes,2010,312,Beverage Industry and the Snuff,0.1321749985218048
1,Aguascalientes,2010,315,Manufacture of Clothing,4.581709861755371
1,Aguascalientes,2010,325,Chemical Industry,-2.909130096435547
1,Aguascalientes,2010,326,Industry Plastic and Rubber,0.4070090055465698
1,Aguascalientes,2010,327,Product Manufacturing Nonmetallic Minerals,-9.241986274719238
1,Aguascalientes,2010,331,Basic Metal Industries,22.12502670288086
1,Aguascalientes,2010,333,Manufacture of Machinery and Equipment,0.051267001777887344
1,Aguascalientes,2010,334,"Manufacture of Computer, Communication, Measurement and other Equipment, Electronic Components and Accessories",10.587048530578613
1,Aguascalientes,2010,335,"Manufacture of Accessories, Electrical Appliances and Equipment Power Generation",-0.7286310195922852
1,Aguascalientes,2010,336,Manufacture of Transport Equipment,200.95921325683594
1,Aguascalientes,2010,433,"The Wholesale Trade of Pharmaceuticals, Toiletries, Entertainment Items, Minor Appliances and White Line",-0.08454400300979614
1,Aguascalientes,2010,434,"The Wholesale Trade of Agricultural and Forestry Raw Materials for Industry, and Waste Materials",1.6112710237503052
